iter	Passed	Remaining
402	12631	37517
403	12662	37487
404	12694	37458
405	12727	37429
406	12757	37394
407	12792	37375
408	12828	37355
409	12863	37336
410	12895	37305
411	12924	37267
412	12956	37236
413	12985	37199
414	13018	37173
415	13050	37144
416	13083	37115
417	13111	37076
418	13139	37035
419	13168	36997
420	13197	36959
421	13225	36919
422	13256	36887
423	13292	36867
424	13326	36844
425	13354	36804
426	13388	36778
427	13416	36738
428	13444	36699
429	13479	36676
430	13516	36660
431	13553	36645
432	13585	36613
433	13615	36578
434	13648	36553
435	13682	36529
436	13719	36512
437	13754	36491
438	13790	36471
439	13823	36443
440	13853	36409
441	13885	36377
442	13918	36350
443	13954	36332
444	13990	36311
445	14021	36278
446	14051	36243
447	14078	36202
448	14107	36163
449	14142	36140
450	14175	36113
451	14210	36091
452	14238	36051
453	14266	36011
454	14294	35971
455	14321	35930
456	14349	35889
457	14384	35866
458	14416	35837
459	14454	35821
460	14486	35792
461	14527	35783
462	14564	35765
463	14634	35828
464	14669	35806
465	14720	35821
466	14764	35820
467	14781	35753
468	14827	35757
469	14862	35733
470	14896	35707
471	14935	35694
472	14967	35663
473	14999	35630
474	15028	35592
475	15056	35554
476	15089	35525
477	15124	35500
478	15162	35485
479	15192	35448
480	15220	35409
481	15249	35370
482	15279	35335
483	15311	35305
484	15345	35278
485	15381	35257
486	15409	35217
487	15439	35181
488	15470	35148
489	15501	35114
490	15532	35083
491	15567	35058
492	15605	35040
493	15637	35009
494	15668	34978
495	15704	34955
496	15734	34919
497	15768	34893
498	15803	34868
499	15840	34848
500	15870	34813
501	15902	34782
502	15932	34748
503	15963	34713
504	15997	34688
505	16031	34661
506	16069	34643
507	16098	34604
508	16127	34567
509	16156	34530
510	16185	34493
511	16221	34470
512	16254	34442
513	16289	34416
514	16318	34380
515	16346	34340
516	16374	34301
517	16402	34261
518	16438	34238
519	16474	34216
520	16512	34197
521	16544	34167
522	16580	34143
523	16610	34108
524	16641	34074
525	16677	34051
526	16713	34029
527	16750	34008
528	16782	33977
529	16812	33943
530	16842	33906
531	16877	33882
532	16911	33853
533	16947	33831
534	16985	33811
535	17015	33776
536	17043	33737
537	17072	33699
538	17100	33661
539	17135	33636
540	17168	33607
541	17202	33580
542	17237	33553
543	17266	33517
544	17296	33481
545	17327	33448
546	17360	33420
547	17393	33390
548	17428	33365
549	17462	33337
550	17494	33307
551	17524	33270
552	17552	33231
553	17586	33204
554	17621	33179
555	17662	33165
556	17698	33141
557	17734	33116
558	17767	33087
559	17803	33063
560	17845	33050
561	17884	33032
562	17929	33024
563	17971	33010
564	18007	32987
565	18043	32963
566	18085	32949
567	18128	32937
568	18172	32927
569	18214	32914
570	18252	32892
571	18290	32872
572	18334	32860
573	18377	32849
574	18422	32840
575	18470	32835
576	18512	32821
577	18555	32809
578	18601	32801
579	18652	32803
580	18706	32808
581	18754	32805
582	18801	32798
583	18846	32787
584	18895	32783
585	18945	32782
586	18987	32767
587	19038	32767
588	19086	32761
589	19133	32753
590	19178	32742
591	19219	32725
592	19260	32706
593	19306	32697
594	19348	32681
595	19393	32670
596	19441	32662
597	19487	32653
598	19534	32644
599	19582	32637
600	19631	32632
601	19675	32618
602	19723	32610
603	19772	32605
604	19819	32595
605	19868	32590
606	19913	32575
607	19957	32562
608	20002	32548
609	20048	32537
610	20095	32528
611	20136	32508
612	20184	32499
613	20230	32487
614	20275	32473
615	20322	32463
616	20361	32439
617	20405	32423
618	20447	32405
619	20491	32390
620	20537	32377
621	20583	32363
622	20631	32354
623	20678	32343
624	20725	32331
625	20774	32323
626	20822	32312
627	20867	32298
628	20912	32283
629	20958	32269
630	21007	32260
631	21050	32241
632	21096	32228
633	21145	32217
634	21191	32204
635	21239	32192
636	21282	32174
637	21330	32162
638	21375	32146
639	21420	32131
640	21469	32120
641	21511	32099
642	21560	32089
643	21606	32074
644	21653	32061
645	21701	32048
646	21747	32032
647	21797	32023
648	21844	32008
649	21887	31990
650	21936	31978
651	21978	31956
652	22024	31940
653	22068	31922
654	22114	31905
655	22161	31891
656	22203	31868
657	22245	31847
658	22292	31831
659	22337	31814
660	22386	31801
661	22430	31782
662	22486	31780
663	22541	31775
664	22593	31766
665	22641	31753
666	22685	31732
667	22733	31718
668	22777	31697
669	22824	31682
670	22874	31670
671	22918	31649
672	22963	31630
673	23010	31613
674	23055	31595
675	23104	31580
676	23146	31557
677	23192	31538
678	23236	31518
679	23281	31499
680	23330	31484
681	23374	31462
682	23422	31447
683	23471	31433
684	23518	31415
685	23567	31400
686	23613	31381
687	23659	31363
688	23702	31339
689	23748	31320
690	23799	31307
691	23842	31284
692	23886	31263
693	23930	31240
694	23975	31220
695	24021	31200
696	24065	31177
697	24110	31156
698	24155	31136
699	24201	31116
700	24251	31101
701	24294	31077
702	24338	31055
703	24382	31032
704	24428	31011
705	24473	30989
706	24548	31006
707	24603	30998
708	24664	30995
709	24711	30976
710	24759	30957
711	24812	30946
712	24859	30926
713	24906	30905
714	24952	30885
715	24999	30865
716	25045	30844
717	25093	30824
718	25141	30806
719	25190	30788
720	25232	30762
721	25280	30742
722	25326	30721
723	25373	30700
724	25421	30681
725	25465	30657
726	25513	30636
727	25565	30622
728	25612	30601
729	25660	30581
730	25702	30554
731	25750	30534
732	25798	30514
733	25847	30496
734	25898	30478
735	25940	30451
736	25986	30429
737	26033	30407
738	26080	30386
739	26128	30365
740	26168	30336
741	26214	30312
742	26258	30286
743	26304	30264
744	26353	30244
745	26394	30215
746	26439	30191
747	26486	30168
748	26535	30149
749	26584	30129
750	26635	30111
751	26682	30089
752	26728	30064
753	26776	30043
754	26824	30021
755	26871	29999
756	26920	29978
757	26966	29954
758	27013	29932
759	27064	29913
760	27105	29883
761	27152	29860
762	27197	29835
763	27245	29812
764	27292	29789
765	27336	29762
766	27383	29739
767	27428	29714
768	27472	29687
769	27520	29664
770	27569	29643
771	27615	29618
772	27661	29594
773	27708	29570
774	27759	29550
775	27803	29522
776	27851	29500
777	27898	29476
778	27945	29452
779	27991	29426
780	28033	29397
781	28074	29366
782	28120	29341
783	28164	29314
784	28209	29287
785	28256	29263
786	28301	29236
787	28348	29211
788	28392	29184
789	28439	29159
790	28487	29135
791	28536	29112
792	28585	29089
793	28629	29062
794	28677	29038
795	28721	29009
796	28767	28984
797	28813	28957
798	28862	28934
799	28910	28910
800	28955	28883
801	29002	28857
802	29049	28831
803	29092	28802
804	29136	28774
805	29181	28747
806	29226	28719
807	29271	28692
808	29320	28668
809	29368	28643
810	29412	28614
811	29457	28586
812	29504	28560
813	29556	28539
814	29604	28515
815	29652	28489
816	29699	28463
817	29745	28436
818	29794	28411
819	29845	28389
820	29890	28361
821	29940	28337
822	29987	28311
823	30034	28285
824	30079	28256
825	30124	28228
826	30170	28200
827	30215	28172
828	30258	28141
829	30307	28116
830	30352	28088
831	30399	28060
832	30446	28034
833	30494	28008
834	30544	27984
835	30592	27957
836	30638	27929
837	30684	27901
838	30729	27873
839	30778	27847
840	30824	27819
841	30868	27789
842	30913	27760
843	30962	27734
844	31007	27704
845	31051	27674
846	31093	27642
847	31138	27612
848	31183	27584
849	31230	27556
850	31274	27526
851	31320	27497
852	31363	27466
853	31409	27437
854	31456	27409
855	31509	27387
856	31557	27359
857	31604	27331
858	31650	27302
859	31698	27275
860	31746	27248
861	31793	27219
862	31840	27191
863	31884	27161
864	31932	27133
865	31979	27104
866	32024	27074
867	32067	27042
868	32112	27012
869	32157	26982
870	32200	26950
871	32248	26922
872	32294	26893
873	32345	26868
874	32393	26840
875	32442	26813
876	32487	26782
877	32537	26756
878	32583	26726
879	32630	26698
880	32680	26670
881	32726	26641
882	32775	26613
883	32823	26585
884	32870	26556
885	32916	26526
886	32962	26496
887	33007	26465
888	33054	26436
889	33102	26407
890	33147	26376
891	33195	26348
892	33243	26319
893	33289	26289
894	33339	26261
895	33388	26233
896	33434	26203
897	33483	26175
898	33528	26144
899	33578	26116
900	33624	26086
901	33669	26054
902	33716	26024
903	33761	25993
904	33810	25964
905	33858	25935
906	33903	25904
907	33953	25876
908	34000	25846
909	34043	25813
910	34092	25784
911	34138	25753
912	34184	25722
913	34230	25691
914	34277	25661
915	34324	25630
916	34367	25597
917	34412	25565
918	34459	25535
919	34514	25510
920	34563	25481
921	34607	25449
922	34653	25417
923	34706	25391
924	34755	25361
925	34806	25334
926	34853	25303
927	34899	25271
928	34944	25239
929	34991	25208
930	35041	25180
931	35086	25147
932	35130	25115
933	35178	25084
934	35228	25055
935	35282	25029
936	35327	24996
937	35371	24963
938	35419	24932
939	35470	24904
940	35519	24874
941	35563	24841
942	35608	24809
943	35654	24777
944	35704	24747
945	35749	24714
946	35796	24683
947	35841	24650
948	35888	24619
949	35936	24588
950	35984	24557
951	36032	24526
952	36080	24495
953	36126	24462
954	36169	24428
955	36215	24396
956	36261	24363
957	36306	24330
958	36354	24299
959	36403	24268
960	36451	24237
961	36498	24205
962	36543	24172
963	36591	24141
964	36642	24111
965	36691	24081
966	36737	24048
967	36783	24015
968	36831	23984
969	36880	23953
970	36928	23921
971	36974	23889
972	37022	23857
973	37069	23824
974	37117	23793
975	37169	23764
976	37214	23730
977	37261	23697
978	37304	23662
979	37351	23630
980	37400	23599
981	37448	23567
982	37495	23534
983	37541	23501
984	37591	23470
985	37639	23438
986	37687	23406
987	37735	23374
988	37781	23341
989	37829	23309
990	37877	23276
991	37923	23243
992	37967	23208
993	38014	23175
994	38063	23144
995	38110	23111
996	38159	23079
997	38205	23045
998	38252	23012
999	38301	22981
1000	38349	22948
1001	38395	22914
1002	38442	22881
1003	38489	22848
1004	38540	22817
1005	38587	22784
1006	38632	22749
1007	38677	22715
1008	38723	22681
1009	38770	22648
1010	38818	22615
1011	38863	22581
1012	38911	22547
1013	38956	22513
